,l1_ratio,latex
"1h_(1, 1)",,-
"1h_(1, 2)",,-
"1h_(1, 3)",,-
"1h_(1, 4)",,-
"1h_(2, 1)",,-
"1h_(2, 2)",,-
"1h_(2, 3)",,-
"1h_(2, 4)",,-
"1h_(3, 1)",,-
"1h_(3, 2)",,-
"1h_(3, 3)",,-
"1h_(3, 4)",,-
"1h_(4, 1)",,-
"1h_(4, 2)",,-
"1h_(4, 3)",,-
"1h_(4, 4)",,-
"1h_(5, 1)",,-
"1h_(5, 2)",,-
"1h_(5, 3)",,-
"1h_(5, 4)",,-
